IMG ORI GEM CNC CMI CMA MON LEP SEX PYX TRI ARI LEO LMI LYN VIR VEL CEN CRT ANT HYA PUP COL CAR CAS PIC DOR AND TAU AUR HOR CAE SCL CET FOR PHE CAM ERI PEG PER PSC UMA UMI CEP CHA CIR COM CRA CRB CRU CRV CVN CYG DEL DRA EQU GRU HER HYI IND LAC LIB LUP LYR MEN MIC MUS NOR OCT OPH PAV PSA RET SCO SCT SER SGE SGR APS AQL AQR ARA VOL VUL BOO CAP TUC TRA TEL
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.49411764705882344 0 0.3116883116883117 0.04926470588235293 0.9999999999999999 0.6574382921947963 0 0.3542675797561384 0 0 0 0 0 0 0.33676333021515437 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.9999999999999999 0 0 0 0.5347313237221494 0 0 0 0.7464251668255482 0 0 0 0 0 0 0 0 0 0.43563829787234043 0 0 0 0.31417624521072796 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1757660167130919 0 0.20527465143625062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999999999999999 0 1 0 0 0 0 0 0 0 0 0 0.07232943321683635 0 0.28613861386138617 0 0.7516248839368616 0.8157262905162064 0 0 0 0 0.8274932614555255 0 0.5787534049030605 0.3242295164119268 0 0 0.9463733241663804 0.24809160305343508 0.6737288135593221 0 0.641057934508816 0 0 0 0.752762996316005 0 0 0 0 0 0.7504598405885959 0.8712784588441331
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8899721448467964 0 0.6297665042835545 0.7388193202146689 0.18431372549019612 0.3120136186770428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.60431654676259 0 1 1 0.8307086614173227 0 0 0 0 0 0 0.27153927974471964 0 0 0 0.7516248839368616 0.8892557022809122 0 0 0 0 0 0 0.5431821823425733 0 0 0 0.43829494671708497 0 0.606430707876371 0 0 0 0 0 0 0 0 0.63855421686747 0 0 0 0
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1727346278317153 0.9094299413958444 0.1258366800535475 0 0 0 0 0 0 0 0 0 0 0.5319366377107818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34848484848484845 0 0 0.19679786524349566 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.8521046643913539 0 0 0.8396039603960397 0 0 0 0 0 0.8395415472779371 0 0.26415094339622636 0 0 0.6474567777499373 0.8872062663185378 0 0.3618081815056721 0 0 0 0.37615449202350965 0 0 0 0.752762996316005 0 0 0 0 0.5242656449553001 0 0.8712784588441331
5 0 0 0 0 0 0.16541019955654104 0 0.6924643584521386 0.679304897314376 0 0 0.6176623376623377 0 0 0.18050139275766014 0 0 0.5217650566487775 0.35555555555555557 0.578793774319066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0214401294498382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 0 0.4405350925416896 0.7555715312724658 1 0.02728167627619182 0.37472283813747237 0 0.6924643584521386 0.679304897314376 0 0 0.7625974025974026 0.7537619699042406 0.5938864628820961 0.2688022284122562 0 0 0.5217650566487775 0.5856209150326797 0.687986381322957 0.1869996797950689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7798004314994611 0 0 0 0 1 0 0 0 0 1 0 0 0.10986203372508942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08983301627562884 0 0 0 0
7 0 0 0 0 0.23147236675573057 0 0 0 1 0 0 0 0 0 0 0.8770825620140689 0.14127330757601209 0 0.3803921568627452 0 0.7409542106948449 0.5099183197199533 0.9104798281212699 0 0.735009671179884 1 0 0 0 1 0.5091277890466532 0 0 0 0.7008005336891259 0 0.27576415567061974 0 0 0 0 0 0 0.8185219831618334 0 0 0 0 1 0 0 0 0 0 0 0.5566932119833145 0 1 0.8396039603960397 0 0 0 0 0.9999999999999999 0 0.8196721311475409 0 0.7562254259501966 0 0.4708093209721874 0 0.7464251668255482 0 0 0 0 0 0.851981351981352 0 0 0 0.7042553191489361 0 0 0 0.7420178799489145 0.440220723482526 0
8 0 0 0 0 0 0 0 0 0.32069510268562396 0 0 0 0 0 0 0.8770825620140689 0.14127330757601209 0 0.3803921568627452 0 0.12007684918347747 0 0.7500596801145859 0 0.2649903288201161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8185219831618334 0.450479233226837 0 0 0 1 0 0 0 0 0 0 0 0 0.4600465477114042 0 0 0 0 0 0.9999999999999999 0 0.8196721311475409 0 0.7562254259501966 0 0.16086193936356802 0 0 0 0 0 0 0 0.851981351981352 0 0 0 0.7042553191489361 0 0 0 0 0.5567136725935009 0
9 0 0.3903243540406817 0.5132997843278218 0 0 0 0 0.6924643584521386 0 0 0 0.7625974025974026 0.7537619699042406 0.7205240174672489 0.1214484679665738 0 0 0 0 0.23151750972762644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3961704422869474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
